"Form","Translation","POS","Translation_es","Base_Stem","Affix_ID","Gloss","Paradigm","PERT","NPERT","2_Prefix","Base_Root"
"kojpa+ye","at night","adv",,"kojpa-night","yeadvz","night+ADVZ",,,,,
"kampra+ke","big","adv",,"kampara-big","keprop","big+ADVZ",,,,,
"tejpo+re","tasty","adv","sabroso",,"readvz","tasty",,,,,"tejpo-taste"
"tapi+re","red","adv","rojo",,"readvz","red",,,,,"tapi-redness"
"pëchi+ne; pochi+ne","odorous","adv","oloroso",,"neadvz","odorous",,,,,"pochi-smell"
"makë+pïjkë","second mother","n","hermana menor de la madre, tía materna, también conisderada en el sistema de parentesco como madre","make-mom","pijkedim","second.mother","uninfl",,,,
"mëtë+ye","thin","adv","flaco",,"yeadvz","thin",,,,,"mete-thin"
"të+pëti","go (PLUR)","vi","ir (PLUR)","te-go","petiplur","go+PLUR","të",,,,
"sej+pëti; sej+pëj","dream","vi","soñar",,"petiplur","dream+PLUR",,,,,"sej-dream"
"mujna+jtë","bury","vt","enterrar","mujna-grave","jtevbz",,,,,,
