"ID","Form","Translation","Translation_es","POS","Gramm","Comment","Paradigm","PERT","NPERT","2_Prefix","Loanword"
,"ya","ERG","ERG","postp",,,"uninfl",,,,
,"ya","OBL","OBL","postp",,,"uninfl",,,,
,"ma","RST","RST","part",,,,,,,
,"rë","EMP","EMP","part",,,,,,,
,"yawë; yawo; chawë","LOC","LOC","postp",,,,,,,
,"pïnika","PROB","PROB","part",,,,,,,
,"takï","CNFRM","CNFRM","part",,,,,,,
,"tawara; tawaraij","too","también","adv",,,,,,,
,"chiyawë","when","cuando","part",,,,,,,
,"kwase","how","como","part",,,,,,,
,"pïrarë","NEG.EXIST","NEG.EXIST","part",,,,,,,
,"chi; ch; chij; wej","COP","COP","vi","cop","*eti","cop; v_intr_nmlz",,,,
,"ne; n","INTS","INTS","part",,,,,,,
,"neke","CNTR","CNTR","part",,,,,,,
,"ë'ë","yes","sí","intj",,,,,,,
,"taji","FOC","FOC","part",,"A Piaroan loanword?",,,,,
,"irë","3ANA.INAN","3ANA.INAN","dem",,,,,,,
,"ijtë","there","allá","part",,,,,,,
,"pïnirë","NEG","NEG","part",,"Prominently used in nonverbal predication.",,,,,
,"waraij; warai","like","como","postp",,,,,,,
,"manïkï; maniki","REL.ANIM","REL.ANIM","part",,,,,,,
,"të","go","ir","vi",,"Irregularly inflected.","të; të_plur; v_intr_nmlz",,,,
,"ke","INS","INS","postp",,,,,,,
,"ewenke","ignorant","ignorante","postp",,,,,,,
,"wara","thus","así","part",,,,,,,
,"suku; suj","urine","orina","n",,,,,,,
,"mesuku; mesuj","blood","sangre","n",,"-tu PERT",,,,,
,"ënka","finish","terminar","vt",,,,,,,
,"enejka","watch","mirar","vt",,,,,,,
,"tawejka","dawn","amanecer","vi",,,,,,,
,"anïkï; aniki","who","quién","pn",,,,,,,
,"ka; kaj","say","decír","vi",,,,,,,
,"ïwïtï; ïwïj; ëj","house","casa","n",,,,,"të",,
,"tawaja","thus.NEG","así.NEG","adv",,"Looks suspiciously like [mp](tawara-too) and [mp](janeg), but the combination would be unexpected.",,,,,
,"kanta","sing","cantar","vi",,,,,,,"spa"
,"soj","splash","chapoteo","ideo",,,,,,,
,"aaa","ah","ah","intj",,,,,,,
,"ëkëtë; ëkëj","where","dónde","adv",,,,,,,
,"ëkï; okï","chicha","yaraki","n",,,,,,,
,"womï; won","enter","entrar","vi",,,,,,,
,"ta","like","pues","part",,,,,,,
,"nwa; wa","thus","así","part",,,,,,,
,"ëjka; ënka","right","¿cierto?","part",,,,,,,
