ID,Form,Gloss_es,POS,Gloss,Translation,Paradigm,Gramm,Comment,PERT,NPERT,2_Prefix
achi,achi,Salvaje,n,wilderness,wilderness,,,,,,
aijkorono,aijkorono,persona mejor de salud,n,recovered,recovered,,,,,,
ajpachi,ajpachi,"maleza, monte, lugar donde crecen plantas de pequeño y mediano tamaño",n,undergrowth,undergrowth,,,,,,
aki,akï,"gusano, miasis",n,worm,worm; maggot,,,,,,
ami,amï,Planta no identificada,n,unidentified plant,unidentified plant,,,,,,
ana,ana,"Nosotros (exclusivo), nos, nuestro, a",pn,1+3PRO,1+3PRO,,,,,,
aniki-aniki,aniki; anïkï,Quién?,intj,who,who,,,,,,
anoto,anoto,Onoto,n,annatto,annatto,,,,,,
anta,anta,Isla,n,island,island,,,,,,
ante,antë,Anzuelo,n,fish hook,fish hook,,,,,,
apataka,apataka,Salir;  nacer,vi,come out,come out,,,,,,
apo,apo,Espera! Un momento,adv,later,later; meanwhile,,,,,,
apuni,apuni,jabón,n,soap,soap,,,,,,
arajmate,arajmatë,Peligroso,adv,dangerous,dangerous,,,,,,
arina,arina,Temblador,n,trembler,trembler,,,,,,
aro,aro,arroz,n,rice,rice,,,,,,
aroma,aroma,lapa,n,limpet,limpet,,,,,,
aropoko,aropoko,juego de pelota,n,ball game,ball game,,,,,,
asakontompene,asakontompene,Cuatro (número cardinal),adv,four,four,,,,,,
asake,asakë,Dos,adv,two,two,,,,,,
asere,asere,tos seca; tuberculosis,n,dry cough,dry cough,,,,,,
asuka,asuka,Azúcar,n,sugar,sugar,,,,,,
awochi,awochi,Tumor grande,n,tumor,tumor,,,,,,
chika,chika,Morder,vt,bite,bite,,,,,,
chike,chikë,Nigua,n,chigger,chigger,,,,,,
chima,chima,"Camino, pica, sendera, ruta",n,path,path,,,,,,
chimichimi,chimichimi,Gusano (perro),n,worm (dog),worm (dog),,,,,,
chipiyu,chipiyu,Hongo sp.,n,fungus.sp,fungus.sp,,,,,,
chiramu,chiramu,sarna,n,mange,mange,,,,,,
chiri,chiri,Mono tití,n,titi monkey,titi monkey,,,,,,
chiri,chiri,piña silvestre,n,wild pineapple,wild pineapple,,,,,,
chiyakono-chiyakon-chiyakom,chiyakono; chiyakon; chiyakom,"Amigo, compañero",n,friend,friend,,,,,,
chekey,chëkëy,"liendre, larva de piojo",n,nit,nit,,,,,,
ejne,ejnë,"Nosotros, nos (inclusivo). Nuestro, a (inclusivo)",pn,1+2PRO,1+2PRO,,,,,,
eni-seni-en,eni; seni; en,"Este, esta; ese, esa (inanimado)",det,PROX.INAN,PROX.INAN,,,Are these actually allomorphs?,,,
enijne,enijne,"estos, estas",det,PROX.INAN.PL,PROX.INAN.PL,,,Also *enisantomo*?,,,
enire-eniro,enirë; eniro,Hoy,adv,now,now; today,,,,,,
entono,entono,algo o alguien de aquí; desde aquí,n,from here,from here,,,,,,
ente,entë,"Aquí, acá (sin movimiento)",adv,here.LOC,here.LOC,,,,,,
epe,epe,"Escapar, huir a escondite",vi,escape,escape; hide and seek,,,,,,
eretapi,eretapi,planta cultivada; cultivo,n,cultivated plant,cultivated plant,,,,,,
ewine,ewinë,"Por aquí, acá",adv,here.ALL,here.ALL,,,,,,
ijpu,ijpu,cumbre,n,summit,summit,,,,,,
inawe,inawë,tener,postp,have,have,,,,,,
ini-in,ini; in,Ver,vt,see,see,,,,,,
intipijke,intipijkë,"Poco, poquito",adv,small,small,,,? + [](MorphsetTable#cldf:pijkedim),,,
iriyawe,iriyawë,entonces,adv,then,then,,,,,,
irejpe,irëjpë,"luego, después",adv,then,then,,,,,,
ita,ita,Oir; escuchar,vt,hear,hear,,,,,,
iyajtepe,iyajtëpe,"primero, al inicio",adv,before,before,,,,,,
jwaka,jwaka,hacia,postp,ILL.AQ,ILL.AQ; LOC.AQ,,,,,,
ka,ka,Partícula interrogativa,part,Q,Q,,,,,,
kaimo,kaimo,presa de caceria o de pesca,n,game,game,,,,,,
kamere,kamere,Relámpago; rayo,n,lightning,lightning,,,,,,
kamwiyajka,kamwiyajka,cambiar,vt,change,change,,,,,,
kapau,kapau,Cachicamo montañero,n,dasypus novemcinctus,dasypus novemcinctus,,,,,,
ka,ka,sacar; quitar,vt,take out,take out,,,,,,
kasajpe,kasajpë,almendra de cualquier fruta,n,fruit pit,fruit pit,,,,,,
kawono-kawon,kawono; kawon,Alto,n,high,high,,,,,,
kawe,kawë,"Alto, arriba",adv,high,high,,,,,,
kaya,kaya,Barbasco de monte,n,barbasco,barbasco,,,,,,
kaya,kaya,"Tapara, taparo (árbol)",n,gourd,gourd,,,,,,
kejkepe,kejkepe,"salamandra, tuqueque ; limpiacasas",n,salamander,salamander,,,,,,
kojpa,kojpa,noche,n,night,night,,,,,,
konopo,konopo,Lluvia; temporada de lluvia; aguacero,n,rain,rain,,,,,,
ko-kori,ko; korï,Gusano de las palmas sp.,n,brassolis sophorae,brassolis sophorae,,,,,,
korokoro,korokoro,Corocoro,n,C.,C.,,,,,,
kuru,kuru,Coporo,n,prochilodus mariae,prochilodus mariae,,,,,,
kuruwa,kuruwa,Palma coroba,n,coroba palm,coroba palm,,,,,,
kuya,kuya,Guayabita sp.,n,tree.sp,tree.sp,,,,,,
kuyuwi,kuyuwi,Pava rajadora,n,bird.sp,bird.sp,,,,,,
kejma,këjma,ladrar persiguiendo animal,vt,hunt,hunt,,,,,,
kere,kërë,"Este, esta (animado)",det,PROX.ANIM,PROX.ANIM,,,,,,
keresantomo,kërësantomo,"estos, estas (animado)",det,PROX.ANIM.PL,PROX.ANIM.PL,,,,,,
keta,këta,"Heder; Podrirse, tomar mal olor",vi,stink,stink,,,,,,
ketejwate,këtëjwatë,Algodón,n,cotton,cotton,,,,,,
kimiy-kimii,kïmïy; kïmïi,Aji,n,chili,chili,,,,,,
kiripi,kïrïpï,apagarse,vi,go out,go out,,,,,,
majawa,majawa,Majagua,n,M.,M.,,,,,,
majpe,majpë,Nombre de un caño,n,M.,M.,,,,,,
maka,maka,"Ceiba, Árbol del kapok.",n,ceiba pentandra,ceiba pentandra,,,,,,
makarike,makarikë,"Baba , babo",n,cayman,cayman,,,,,,
makuyupi,makuyupi,Bagre sp.,n,catfish.sp,catfish.sp,,,,,,
make,makë,madre,n,mom,mom,,,,,,
mapara,mapara,"Gallina, gallo",n,chicken,chicken,,,,,,
mare-mare,marë; mare,relativizador (inanimado),part,REL.INAN,REL.INAN,,,,,,
mayawaka,mayawaka,Nombre del demiurgo creador del pueblo y la cultura yawarana,n,M.,M.,,,,,,
mayi-mai,mayi; mai,Vaya!,intj,let’s go,let’s go,,,,,,
michi,michi,"Este, esta, éste , ésta (animado)",det,MED.ANIM,MED.ANIM,,,,,,
michisantomo,michisantomo,"estos, estas (animado)",det,MED.INAN.PL,MED.INAN.PL,,,,,,
michitomo,michitomo,"estos, estas (animado)",det,MED.INAN.PL,MED.INAN.PL,,,,,,
misi,misi,"Este, esta, éste, ésta (objeto inanimado)",det,MED.INAN,MED.INAN,,,,,,
mone,mone,sexo de mujer; vagina,n,vagina,vagina,,,,,,
moneka,moneka,término vocativo para llamar a una niña,n,girl.VOC,girl.VOC,,,,,,
monkontomo-mokontomo-mekontomo-montomo-mokontom,monkontomo; mokontomo; mëkontomo; montomo; mokontom,"Vosotros, vosotras, ustedes",pn,2PL.PRO,2PL.PRO,,,,,,
morone,morone,Doloroso,adv,hurting,hurting,,,,,,
moroni-moron,moroni; moron,Dolor,n,pain,pain,,,,,,
morono,morono,Veneno,n,poison,poison,,,,,,
moto,moto,lombriz de tierra; lombriz intestinal,n,worm,worm,,,,,,
moyochi,moyochi,araña sp.,n,spider (sp.),spider (sp.),,,,,,
mujyane-mujyam,mujyanë; mujyam,"Embarrazada, encinta, preñada, grávida",n,pregnancy,pregnancy,,,,,,
muku,muku,"niño, niña; Hija de un hombre o de una mujer; espíritu del muerto",n,child,child,,,,,,
mune,mune,Bulboso,adv,bulbous,bulbous,,,,,,
munta,munta,Formarse bulbo,vi,budding,budding,,,,,,
mejki,mëjkï,"aquel, aquella (ser animado)",pn,DIST.ANIM,DIST.ANIM,,,,,,
mejnijne,mëjnijne,"aquellos, aquellas (inanimado)",det,DIST.INAN.PL,DIST.INAN.PL,,,,,,
mejni-meni,mëjnï; mënï,"Aquel, aquella, áquel (inanimado)",det,DIST.INAN,DIST.INAN,,,,,,
